CustomerID,Name,Age,Gender,Country,SignupDate,LastLogin,TotalPurchase,PreferredDevice,Email
e3e70682-c209-4cac-a29f-6fbed82c07cd,Christopher Williams,63.0,Male,USA,2021-12-22,2023-09-12,2141.15,Desktop,margaret03@bullock.info
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Kevin Hopkins,42.0,Female,UK,2023-04-21,2024-06-28,2863.67,Unknown,tammy76@mcintyre.org
eb1167b3-67a9-4378-bc65-c1e582e2e662,Sonya Stafford,76.0,Female,UK,2020-09-16,2023-06-13,2427.18,Unknown,lauramichael@hotmail.com
f7c1bd87-4da5-4709-9471-3d60c8a70639,Matthew Schmidt,53.0,Unknown,India,2021-05-16,2024-12-15,5986.07,Mobile,
e443df78-9558-467f-9ba9-1faf7a024204,Kristen Banks,74.0,Unknown,UK,2022-04-14,2025-01-08,3374.72,Desktop,blacknicole@smith-lewis.com
23a7711a-8133-4876-b7eb-dcd9e87a1613,Andrew Adams,74.0,Unknown,USA,2022-03-09,2023-07-13,740.75,Mobile,james83@henderson.com
1846d424-c17c-4279-a3c6-612f48268673,,51.0,Female,UK,2021-01-16,2024-09-23,7702.33,Desktop,woodsusan@yahoo.com
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Amanda Webster,38.0,Unknown,USA,2020-11-26,2023-11-21,5103.92,mobile,jason95@collins.com
b4862b21-fb97-4435-8856-1712e8e5216a,David Holt,63.0,Unknown,Germany,2021-01-07,2024-04-16,1666.4,mobile,tammythomas@brown.org
259f4329-e6f4-490b-9a16-4106cf6a659e,Cameron Guerrero,29.0,Male,UK,2023-11-14,2024-12-15,7062.4,Desktop,murraydylan@gmail.com
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Heather Turner,76.0,Unknown,India,2020-09-16,2024-04-21,2649.93,Mobile,reginafrancis@morris.biz
5487ce1e-af19-422a-99b8-a714e61a441c,Gary Brown,49.0,Unknown,USA,2020-06-29,,8294.37,mobile,rogerslance@gmail.com
5a921187-19c7-4df4-8f4f-f31e78de5857,Patrick Hayden,35.0,Female,India,2022-05-09,2024-10-07,3747.94,Mobile,diazbrian@hotmail.com
8d723104-f773-43c1-b458-a748e9bb17bc,Gary Holloway,25.0,Unknown,Unknown,2022-08-07,2023-06-05,4162.92,Mobile,shelby04@lucero-petersen.info
85776e9a-dd84-439e-b154-5a137a1d5006,Ian Brown,58.0,Unknown,UK,2023-07-15,2024-02-10,7392.79,Desktop,zhernandez@gmail.com
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Cristian Shepard,29.0,Female,USA,2022-03-03,2025-02-16,8169.49,desktop,hollyleonard@yahoo.com
b5d32b16-6619-4cb1-9710-37d1b83e90ec,Hannah Rose,70.0,Unknown,USA,2022-08-06,,258.34,Unknown,lancepayne@yahoo.com
